NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
0096WD_7_N001,CAISO,NODE,Real Time,,,35.575122,21530.15522,-31.223837,-1.648036,311.54138,-295.783445
0096WD_7_N002,CAISO,NODE,Real Time,,,35.575122,21530.15522,-31.223837,-1.648036,311.54138,-295.783445
106THSO_LNODED1,CAISO,NODE,Real Time,UT,Salt Lake,30.346966,19634.11281,-17.40517,-3.379639,616.64794,-954.8383
118THSO_LNODER1,CAISO,NODE,Real Time,UT,Salt Lake,30.371721,19642.70874,-17.422205,-3.37782,616.64794,-954.8383
13THSO_LNODE-3,CAISO,NODE,Real Time,UT,Salt Lake,32.475446,21488.44812,-17.657257,-2.415642,616.64794,-954.8383
13THSO_LNODED2,CAISO,NODE,Real Time,UT,Salt Lake,30.804317,19902.85369,-17.657257,-3.385744,616.64794,-954.8383
23RDST_LNODED3,CAISO,NODE,Real Time,UT,Weber,30.949387,19967.23184,-17.71259,-3.436053,616.64794,-954.8383
26FTDROP_GNODEIT,CAISO,NODE,Real Time,NV,Churchill ,38.286985,19987.66521,-785.992005,5.437032,1015.853462,-844.210862
2C559_1_B1,CAISO,NODE,Real Time,,,35.305834,21470.54739,-149.997015,-1.883245,311.54138,-295.783445
2C559EQ2_7_N001,CAISO,NODE,Real Time,CA,Kern,35.072304,21258.68303,-150.185227,-1.883245,311.54138,-295.783445
2C577C1_7_N001,CAISO,NODE,Real Time,,,36.272697,21557.68324,-91.239455,-0.866201,129.86502,-261.569687
2PBLSM34_7_N001,CAISO,NODE,Real Time,,,39.313358,21564.2015,-17.417742,2.117861,576.206202,-144.75982
3EMIDIO_6_N001,CAISO,NODE,Real Time,,,36.283535,21815.69684,-30.57371,-1.65776,311.54138,-295.783445
3EMIDIO_6_N002,CAISO,NODE,Real Time,,,36.283535,21815.69684,-30.57371,-1.65776,311.54138,-295.783445
3EMIDIO_6_N003,CAISO,NODE,Real Time,,,36.283535,21815.69684,-30.57371,-1.65776,311.54138,-295.783445
3PEAKS_GNODE1,CAISO,NODE,Real Time,,,30.616675,20107.73818,-16.699995,-3.069092,617.552255,-954.8383
3RDWEST_LNODED1,CAISO,NODE,Real Time,UT,Salt Lake,30.520624,19735.17366,-17.506942,-3.385737,616.64794,-954.8383
3RDWEST_LNODED2,CAISO,NODE,Real Time,UT,Salt Lake,30.520624,19735.17366,-17.506942,-3.385737,616.64794,-954.8383
4C687_1_B1,CAISO,NODE,Real Time,,,36.783719,22799.72908,-24.255182,-1.223317,277.837272,-242.807305
4C687C2_7_N001,CAISO,NODE,Real Time,,,36.701838,22731.1841,-24.255182,-1.223317,277.837272,-242.807305
4C744C12_7_N001,CAISO,NODE,Real Time,,,35.215638,21402.07145,-149.99837,-1.883245,311.54138,-295.783445
4C744C12_7_N002,CAISO,NODE,Real Time,,,35.215638,21402.07145,-149.99837,-1.883245,311.54138,-295.783445
4C744C22_7_N001,CAISO,NODE,Real Time,,,35.202129,21393.52525,-149.996905,-1.883245,311.54138,-295.783445
